"Speaker","Word","approximants","Begin_Time_s","End_Time_s","Duration_ms","F0_20","F0_50","F0_80","F1_20","F1_50","F1_80","F2_20","F2_50","F2_80","F3_20","F3_50","F3_80","appsequence","vocalic","POA","Education","Age","Gender","POB","Manner","approximants_only"
"Ogbomoso10","lyrics","l",10.0899554,10.13817611,48.22070918,135.2577553,135.9166169,136.1564927,411.3973079,407.0001588,400.4451365,2064.628997,2011.278771,1408.45031,2799.985677,2547.57376,2310.944654,"lV","prevocalic","lateral","Degree","Young adult","male","south-west","liquid","l"
"Ogbomoso10","lyrics","r",10.17,10.2125581,42.55810333,132.114096,130.3565523,127.812272,381.3053247,372.6271989,364.5993395,554.4130859,1445.769968,1459.382553,2243.950896,2647.687978,2591.406983,"rV","prevocalic","palatal","Degree","Young adult","male","south-west","liquid","r"
"Ogbomoso10","queues","j",11.14512169,11.23,84.87831089,210.2514983,205.602533,209.076915,418.6105286,418.4301307,424.0673891,2418.676306,2326.481403,2255.385496,2837.190748,2736.334919,2394.625175,"jV","prevocalic","palatal","Degree","Young adult","male","south-west","glide","j"
"Ogbomoso10","young","j",11.59,11.64855752,58.55751839,160.2193528,165.8990683,167.5041052,340.7084317,344.9805401,428.38893,2164.072803,2049.322531,2202.334789,2972.520314,2762.216557,2842.199188,"jV","prevocalic","palatal","Degree","Young adult","male","south-west","glide","j"
"Ogbomoso10","pew","j",12.53784719,12.58,42.15281447,174.1833098,174.9661351,179.571607,347.7293271,350.1732334,368.634969,2132.482234,2172.8452,2194.323232,2957.106295,3116.150547,2959.208647,"jV","prevocalic","palatal","Degree","Young adult","male","south-west","glide","j"
"Ogbomoso10","muse","j",12.72,12.80072317,80.72316794,175.1786951,166.9469953,162.3023064,442.7745443,373.6603086,366.7141219,1699.018716,1659.395533,646.0529337,3408.493101,2744.713672,2433.962931,"jV","prevocalic","palatal","Degree","Young adult","male","south-west","glide","j"
"Ogbomoso10","quails","w",14.47,14.52850273,58.50273217,156.8614352,155.7882628,156.1448882,395.5798767,341.7684476,339.6380182,1059.886702,1246.984948,1183.458012,2074.947406,2434.111262,2478.095349,"wV","prevocalic","bilabial","Degree","Young adult","male","south-west","glide","w"
"Ogbomoso10","Queen","w",15.41,15.48,70,149.7741515,146.2132459,140.9257334,463.1537082,444.8467298,425.5423662,992.4983657,1080.827617,1288.511749,2433.4616,2344.801839,2272.462229,"wV","prevocalic","bilabial","Degree","Young adult","male","south-west","glide","w"
"Ogbomoso10","Queen","w",16.42,16.46940653,49.40652543,216.0849154,218.4387505,222.128615,478.6194485,465.5761702,464.1774897,1245.414808,2339.435224,2151.259258,2782.933424,3953.30565,3456.863812,"wV","prevocalic","bilabial","Degree","Young adult","male","south-west","glide","w"
"Ogbomoso10","reads","r",16.63,16.69141494,61.41494056,224.2077841,214.3862401,208.1099136,498.9902352,502.0683573,469.322042,783.6779777,1797.998245,1763.697982,2259.93215,2440.278066,2445.961915,"rV","prevocalic","palatal","Degree","Young adult","male","south-west","liquid","r"
"Ogbomoso10","pew","j",18.34,18.4,60,195.3449248,195.7056677,197.9680582,423.0423599,421.4910133,462.9877435,1895.878297,1741.34781,1049.615156,2554.321807,2504.821361,2517.336495,"jV","prevocalic","palatal","Degree","Young adult","male","south-west","glide","j"
